datetime,x (m),y(m)
24-Sep-2023 20:04:00,75.62,27.41
24-Sep-2023 20:13:59,54.19,32.21
24-Sep-2023 20:23:59,55.12,21.50
24-Sep-2023 20:34:00,102.41,41.87
24-Sep-2023 21:24:00,83.52,29.46
24-Sep-2023 21:33:59,92.04,30.77
24-Sep-2023 21:43:59,84.12,31.25
24-Sep-2023 22:14:00,45.12,17.17
24-Sep-2023 22:24:00,58.31,25.55
24-Sep-2023 22:34:00,72.17,18.34
24-Sep-2023 23:24:00,70.28,20.99
25-Sep-2023 02:23:59,35.50,9.94
25-Sep-2023 02:33:59,51.75,24.72
25-Sep-2023 02:43:59,39.22,14.93
25-Sep-2023 02:54:00,84.29,31.28
25-Sep-2023 03:04:00,92.11,30.80
25-Sep-2023 03:14:00,74.63,28.76
25-Sep-2023 04:04:00,76.10,28.21
25-Sep-2023 04:14:00,70.58,28.24
25-Sep-2023 04:24:00,74.07,28.90
25-Sep-2023 04:33:59,74.14,28.91
25-Sep-2023 06:03:59,110.63,25.26
25-Sep-2023 06:14:00,113.82,43.41
25-Sep-2023 06:24:00,81.83,31.97
25-Sep-2023 06:33:59,67.36,32.90
25-Sep-2023 06:43:59,59.34,32.09
25-Sep-2023 06:54:00,67.05,29.45
25-Sep-2023 07:03:59,68.79,28.87
25-Sep-2023 09:33:59,62.13,15.20
25-Sep-2023 09:44:00,58.18,13.21
25-Sep-2023 09:54:00,82.70,33.78
25-Sep-2023 10:03:59,93.20,28.54
25-Sep-2023 10:14:00,91.11,31.22
25-Sep-2023 10:23:59,73.90,30.93
25-Sep-2023 10:33:59,57.69,31.13
25-Sep-2023 10:43:59,61.55,17.23
25-Sep-2023 10:53:59,59.74,18.87
25-Sep-2023 11:03:59,63.31,18.28
25-Sep-2023 11:13:59,80.37,21.09
25-Sep-2023 11:23:59,79.32,21.48
25-Sep-2023 11:33:59,60.32,15.85
25-Sep-2023 11:43:59,81.15,22.74
25-Sep-2023 11:53:59,76.48,12.84
25-Sep-2023 12:03:59,71.45,18.75
25-Sep-2023 12:13:59,67.82,20.17
25-Sep-2023 12:23:59,91.95,20.91
25-Sep-2023 12:33:59,65.35,24.87
25-Sep-2023 12:43:59,64.31,21.49
25-Sep-2023 12:53:59,68.56,19.81
25-Sep-2023 13:03:59,70.41,19.08
25-Sep-2023 13:13:59,78.22,19.88
25-Sep-2023 13:23:59,79.44,19.46
25-Sep-2023 13:33:59,70.35,22.85
25-Sep-2023 13:43:59,69.38,23.21
25-Sep-2023 14:23:59,85.16,19.40
25-Sep-2023 14:33:59,79.51,19.45
25-Sep-2023 14:43:59,67.45,16.50
25-Sep-2023 14:53:59,69.51,17.57
25-Sep-2023 15:03:59,67.55,18.31
25-Sep-2023 15:13:59,72.79,20.04
25-Sep-2023 15:23:59,75.36,21.08
25-Sep-2023 15:33:59,63.00,16.52
25-Sep-2023 15:43:59,72.29,14.57
25-Sep-2023 15:53:59,61.19,15.49
25-Sep-2023 16:03:59,67.61,16.52
25-Sep-2023 16:13:59,62.99,16.49
25-Sep-2023 16:23:59,73.43,14.17
25-Sep-2023 16:53:59,74.29,19.48
25-Sep-2023 17:03:59,59.86,17.80
